DateReported,DailyActiveUsers,PeakConcurrentUsers
2025-08-06,1348,104
2025-08-07,1348,106
2025-08-08,1335,102
2025-08-09,1282,103
2025-08-10,1306,128
2025-08-11,1300,113
2025-08-12,1311,134
2025-08-13,1339,150
2025-08-14,1312,160
2025-08-15,1341,155
2025-08-16,1334,149
2025-08-17,1335,166
2025-08-18,1372,154
2025-08-19,1344,138
2025-08-20,1372,138
2025-08-21,1366,136
2025-08-22,1413,157
2025-08-23,1419,155
2025-08-24,1401,174
2025-08-25,1352,148
2025-08-26,1320,120
2025-08-27,1327,132
2025-08-28,1312,113
2025-08-29,1330,152
2025-08-30,1309,125
2025-08-31,1288,138
2025-09-01,1298,122
2025-09-02,1279,109
2025-09-03,1270,105
2025-09-04,1302,109
2025-09-05,1280,121
2025-09-06,1273,128
2025-09-07,1301,154
2025-09-08,1286,143
2025-09-09,1272,142
2025-09-10,1255,140
2025-09-11,1286,133
2025-09-12,1284,147
2025-09-13,1298,155
2025-09-14,1281,157
2025-09-15,1286,129
2025-09-16,1274,138
2025-09-17,1225,115
2025-09-18,1214,110
2025-09-19,1256,96
2025-09-20,1260,109
2025-09-21,1310,125
2025-09-22,1273,104
2025-09-23,1244,93
2025-09-24,1230,92
2025-09-25,1224,89
2025-09-26,1225,116
2025-09-27,1262,137
2025-09-28,1281,157
2025-09-29,1253,126
2025-09-30,1241,119
2025-10-01,1232,115
2025-10-02,1221,120
2025-10-03,1262,122
2025-10-04,1252,109
2025-10-05,1258,124
2025-10-06,1304,118
2025-10-07,1223,114
2025-10-08,1226,96
2025-10-09,1224,100
2025-10-10,1219,115
2025-10-11,1251,141
2025-10-12,1264,157
2025-10-13,1274,158
2025-10-14,1268,128
2025-10-15,1292,134
2025-10-16,1264,132
2025-10-17,1291,147
2025-10-18,1280,151
2025-10-19,1295,170
2025-10-20,1276,159
2025-10-21,1301,152
2025-10-22,1256,129
2025-10-23,1231,113
2025-10-24,1255,154
2025-10-25,1264,181
2025-10-26,1273,182
2025-10-27,1303,167
2025-10-28,1277,166
2025-10-29,1273,160
2025-10-30,1271,126
2025-10-31,1267,117
2025-11-01,1238,136
2025-11-02,1226,137
2025-11-03,1232,130
2025-11-04,1227,124
2025-11-05,1196,118
2025-11-06,1190,118
2025-11-07,1244,127
2025-11-08,1218,145
2025-11-09,1252,172
2025-11-10,1257,153
2025-11-11,1266,163
2025-11-12,1245,148
2025-11-13,1255,148
2025-11-14,1264,145
2025-11-15,1267,163
2025-11-16,1287,181
2025-11-17,1299,166
2025-11-18,1302,160
2025-11-19,1249,120
2025-11-20,1211,113
2025-11-21,1210,93
2025-11-22,1168,110
2025-11-23,1189,123
2025-11-24,1179,102
2025-11-25,156,110
