"Date","APP ID","Game Name","Device","Total Registered Members","Total Verified Members","Newly Registered Members","Newly Verified Members","Newly Unregistered Members","Download","DAU","ARPDAU","Charged UU","Gold Spent","ARPU","ARPPU","Complimentary Gold Spent"
"2023-02-18","50784","Eros Fantasy","TOTAL","302379","123131","533","216","0","98","3796","24.59","24","93331","0.31","3888.79","0"
"2023-02-19","50784","Eros Fantasy","ANDROID_APP","169951","65067","241","98","0","78","2383","17.22","22","41044","0.24","1865.64","0"
"2023-02-19","50784","Eros Fantasy","PC","124427","57612","180","77","0","0","1426","20.37","9","29042","0.23","3226.89","0"
"2023-02-19","50784","Eros Fantasy","TOTAL","302795","123302","416","171","0","78","3717","18.86","31","70086","0.23","2260.84","0"
"2023-02-20","50784","Eros Fantasy","ANDROID_APP","170126","65131","175","64","0","55","2314","6.87","13","15896","0.09","1222.77","0"
"2023-02-20","50784","Eros Fantasy","PC","124506","57653","79","41","0","0","1350","16.03","7","21644","0.17","3092","0"
"2023-02-20","50784","Eros Fantasy","TOTAL","303047","123407","252","105","0","55","3568","10.52","20","37540","0.12","1877","0"
"2023-02-21","50784","Eros Fantasy","ANDROID_APP","170382","65226","256","95","0","87","2363","31.7","10","74898","0.44","7489.8","0"
"2023-02-21","50784","Eros Fantasy","PC","124730","57739","224","86","0","0","1541","13.88","5","21396","0.17","4279.2","0"
"2023-02-21","50784","Eros Fantasy","TOTAL","303523","123585","476","178","0","87","3819","25.21","15","96294","0.32","6419.6","0"
"2023-02-22","50784","Eros Fantasy","ANDROID_APP","170575","65304","193","78","0","57","2308","11.95","10","27590","0.16","2759","0"
"2023-02-22","50784","Eros Fantasy","PC","124838","57794","108","55","0","0","1427","8.13","6","11598","0.09","1933","0"
"2023-02-22","50784","Eros Fantasy","TOTAL","303824","123718","301","133","0","57","3657","10.72","16","39188","0.13","2449.25","0"
"2023-02-23","50784","Eros Fantasy","ANDROID_APP","170725","65367","150","63","0","54","2193","20.01","17","43891","0.26","2581.82","0"
"2023-02-23","50784","Eros Fantasy","PC","124893","57821","56","27","1","0","1289","16.56","7","21347","0.17","3049.57","0"
"2023-02-23","50784","Eros Fantasy","TOTAL","304029","123808","206","90","1","54","3419","19.08","24","65238","0.21","2718.25","0"
"2023-02-24","50784","Eros Fantasy","ANDROID_APP","170896","65431","171","64","0","53","2246","29.54","21","66337","0.39","3158.9","0"
"2023-02-24","50784","Eros Fantasy","PC","124987","57873","94","52","0","0","1327","67.17","14","89136","0.71","6366.86","0"
"2023-02-24","50784","Eros Fantasy","TOTAL","304293","123923","264","115","0","53","3496","44.47","35","155473","0.51","4442.09","0"
"2023-02-25","50784","Eros Fantasy","ANDROID_APP","171134","65515","238","84","0","80","2180","34.91","23","76113","0.45","3309.26","0"
"2023-02-25","50784","Eros Fantasy","PC","125120","57936","133","63","0","0","1327","60.49","12","80275","0.64","6689.58","0"
"2023-02-25","50784","Eros Fantasy","TOTAL","304664","124070","371","147","0","80","3465","45.13","35","156388","0.51","4468.23","0"
"2023-02-26","50784","Eros Fantasy","ANDROID_APP","171333","65585","199","70","0","56","2193","36.8","18","80712","0.47","4484","0"
"2023-02-26","50784","Eros Fantasy","PC","125230","57988","110","52","0","0","1340","65.87","13","88271","0.71","6790.08","0"
"2023-02-26","50784","Eros Fantasy","TOTAL","304973","124192","309","122","0","56","3483","48.52","31","168983","0.55","5451.06","0"
"2023-02-27","50784","Eros Fantasy","ANDROID_APP","171497","65655","164","70","0","48","2212","18.93","13","41866","0.24","3220.46","0"
"2023-02-27","50784","Eros Fantasy","PC","125373","58064","143","76","0","0","1367","39.77","11","54370","0.43","4942.73","0"
"2023-02-27","50784","Eros Fantasy","TOTAL","305279","124337","306","145","0","48","3523","27.32","24","96236","0.32","4009.83","0"
"2023-02-28","50784","Eros Fantasy","ANDROID_APP","171645","65706","148","51","0","46","2147","25.86","19","55515","0.32","2921.84","0"
"2023-02-28","50784","Eros Fantasy","PC","125453","58102","80","38","0","0","1280","1.95","3","2498","0.02","832.67","0"
"2023-02-28","50784","Eros Fantasy","TOTAL","305504","124424","225","87","0","46","3371","17.21","22","58013","0.19","2636.95","0"
"2023-03-01","50784","Eros Fantasy","ANDROID_APP","171768","65752","124","46","1","41","2077","24.61","13","51123","0.3","3932.54","0"
"2023-03-01","50784","Eros Fantasy","PC","125509","58127","57","25","1","0","1271","10.06","6","12791","0.1","2131.83","0"
"2023-03-01","50784","Eros Fantasy","TOTAL","305683","124495","181","71","2","41","3284","19.46","19","63914","0.21","3363.89","0"
"2023-03-02","50784","Eros Fantasy","ANDROID_APP","171889","65794","121","42","0","39","2099","18.41","12","38641","0.22","3220.08","0"
"2023-03-02","50784","Eros Fantasy","PC","125554","58145","45","18","0","0","1235","11.9","6","14692","0.12","2448.67","0"
"2023-03-02","50784","Eros Fantasy","TOTAL","305849","124555","166","60","0","39","3277","16.27","18","53333","0.17","2962.94","0"
"2023-03-03","50784","Eros Fantasy","ANDROID_APP","172021","65849","133","55","1","29","2076","19.54","25","40555","0.24","1622.2","0"
"2023-03-03","50784","Eros Fantasy","PC","125623","58173","69","28","0","0","1284","15.14","9","19436","0.15","2159.56","0"
"2023-03-03","50784","Eros Fantasy","TOTAL","306048","124636","200","81","1","29","3297","18.2","34","59991","0.2","1764.44","0"
"2023-03-04","50784","Eros Fantasy","ANDROID_APP","172178","65904","157","55","0","50","2073","3.37","8","6993","0.04","874.13","0"
"2023-03-04","50784","Eros Fantasy","PC","125691","58211","68","38","0","0","1241","4.03","3","4998","0.04","1666","0"
"2023-03-04","50784","Eros Fantasy","TOTAL","306271","124727","223","91","0","50","3249","3.69","11","11991","0.04","1090.09","0"
"2023-03-05","50784","Eros Fantasy","ANDROID_APP","172311","65957","133","53","0","41","2133","6.61","10","14089","0.08","1408.9","0"
"2023-03-05","50784","Eros Fantasy","PC","125744","58238","53","27","0","0","1262","7.05","5","8894","0.07","1778.8","0"
"2023-03-05","50784","Eros Fantasy","TOTAL","306457","124807","186","80","0","41","3337","6.89","15","22983","0.08","1532.2","0"
"2023-03-06","50784","Eros Fantasy","ANDROID_APP","172427","66000","116","43","0","38","2074","9.76","11","20238","0.12","1839.82","0"
"2023-03-06","50784","Eros Fantasy","PC","125791","58265","47","27","0","0","1228","3.25","5","3995","0.03","799","0"
"2023-03-06","50784","Eros Fantasy","TOTAL","306619","124876","162","69","0","38","3222","7.52","16","24233","0.08","1514.56","0"
"2023-03-07","50784","Eros Fantasy","ANDROID_APP","172545","66055","118","55","0","32","2060","2.84","6","5844","0.03","974","0"
"2023-03-07","50784","Eros Fantasy","PC","125842","58295","51","30","0","0","1220","3.11","4","3798","0.03","949.5","0"
"2023-03-07","50784","Eros Fantasy","TOTAL","306787","124960","168","84","0","32","3210","3","10","9642","0.03","964.2","0"
"2023-03-08","50784","Eros Fantasy","ANDROID_APP","172649","66092","104","37","0","29","2029","6.55","6","13282","0.08","2213.67","0"
"2023-03-08","50784","Eros Fantasy","PC","125882","58319","40","24","0","0","1209","1.24","2","1498","0.01","749","0"
"2023-03-08","50784","Eros Fantasy","TOTAL","306931","125021","144","61","0","29","3177","4.65","8","14780","0.05","1847.5","0"
"2023-03-09","50784","Eros Fantasy","ANDROID_APP","172771","66135","122","43","0","76","2112","13.35","14","28191","0.16","2013.64","0"
"2023-03-09","50784","Eros Fantasy","PC","125940","58342","58","23","0","0","1226","2.2","4","2699","0.02","674.75","0"
"2023-03-09","50784","Eros Fantasy","TOTAL","307110","125087","179","66","0","76","3282","9.41","18","30890","0.1","1716.11","0"
"2023-03-10","50784","Eros Fantasy","ANDROID_APP","172892","66181","121","46","0","58","2068","4.83","9","9980","0.06","1108.89","0"
"2023-03-10","50784","Eros Fantasy","PC","125998","58373","58","31","0","0","1199","9.46","8","11341","0.09","1417.63","0"
"2023-03-10","50784","Eros Fantasy","TOTAL","307287","125162","177","75","0","58","3194","6.68","17","21321","0.07","1254.18","0"
"2023-03-11","50784","Eros Fantasy","ANDROID_APP","173086","66239","194","58","0","49","2096","5.96","8","12493","0.07","1561.63","0"
"2023-03-11","50784","Eros Fantasy","PC","126073","58411","75","38","0","0","1198","23.07","6","27633","0.22","4605.5","0"
"2023-03-11","50784","Eros Fantasy","TOTAL","307555","125258","268","96","0","49","3238","12.39","14","40126","0.13","2866.14","0"
"2023-03-12","50784","Eros Fantasy","ANDROID_APP","173367","66331","281","92","0","51","2233","5.86","9","13085","0.08","1453.89","0"
"2023-03-12","50784","Eros Fantasy","PC","126135","58438","62","27","0","0","1221","2.45","3","2996","0.02","998.67","0"
"2023-03-12","50784","Eros Fantasy","TOTAL","307898","125377","343","119","0","51","3389","4.75","12","16081","0.05","1340.08","0"
"2023-03-13","50784","Eros Fantasy","ANDROID_APP","173530","66393","163","62","0","43","2144","4.61","9","9892","0.06","1099.11","0"
"2023-03-13","50784","Eros Fantasy","PC","126191","58463","56","25","0","0","1196","14.25","7","17040","0.14","2434.29","0"
"2023-03-13","50784","Eros Fantasy","TOTAL","308114","125462","216","85","0","43","3274","8.23","16","26932","0.09","1683.25","0"
"2023-03-14","50784","Eros Fantasy","ANDROID_APP","173757","66462","227","69","0","29","2131","3.89","10","8296","0.05","829.6","0"
"2023-03-14","50784","Eros Fantasy","PC","126247","58489","56","26","0","0","1216","1.97","2","2397","0.02","1198.5","0"
"2023-03-14","50784","Eros Fantasy","TOTAL","308396","125557","282","95","0","29","3286","3.25","12","10693","0.03","891.08","0"
"2023-03-15","50784","Eros Fantasy","ANDROID_APP","173926","66508","169","46","0","43","2061","7.42","8","15293","0.09","1911.63","0"
"2023-03-15","50784","Eros Fantasy","PC","126292","58509","45","20","0","0","1206","3.19","3","3846","0.03","1282","0"
"2023-03-15","50784","Eros Fantasy","TOTAL","308609","125623","213","66","0","43","3222","5.94","11","19139","0.06","1739.91","0"
"2023-03-16","50784","Eros Fantasy","ANDROID_APP","174077","66557","151","49","0","62","2059","7.21","8","14838","0.09","1854.75","0"
"2023-03-16","50784","Eros Fantasy","PC","126335","58529","43","20","0","0","1180","7.19","6","8490","0.07","1415","0"
"2023-03-16","50784","Eros Fantasy","TOTAL","308803","125692","194","69","0","62","3181","7.33","14","23328","0.08","1666.29","0"
"2023-03-17","50784","Eros Fantasy","ANDROID_APP","174303","66634","226","77","0","112","2132","59.31","24","126440","0.73","5268.33","0"
"2023-03-17","50784","Eros Fantasy","PC","126495","58604","161","75","1","0","1355","63.98","12","86694","0.69","7224.5","0"
"2023-03-17","50784","Eros Fantasy","TOTAL","309187","125843","385","151","1","112","3442","61.92","35","213134","0.69","6089.54","0"
"2023-03-18","50784","Eros Fantasy","ANDROID_APP","174514","66710","212","76","1","107","2067","25.92","18","53579","0.31","2976.61","0"
"2023-03-18","50784","Eros Fantasy","PC","126681","58689","186","85","0","0","1332","62.89","11","83770","0.66","7615.45","0"
"2023-03-18","50784","Eros Fantasy","TOTAL","309578","126000","392","157","1","107","3348","41.02","29","137349","0.44","4736.17","0"
"2023-03-19","50784","Eros Fantasy","ANDROID_APP","174710","66777","196","67","0","101","2081","25.39","15","52830","0.3","3522","0"
"2023-03-19","50784","Eros Fantasy","PC","126833","58751","152","62","0","0","1316","52.8","11","69480","0.55","6316.36","0"
"2023-03-19","50784","Eros Fantasy","TOTAL","309926","126129","348","129","0","101","3355","36.46","26","122310","0.4","4704.23","0"
"2023-03-20","50784","Eros Fantasy","ANDROID_APP","174914","66855","204","78","0","103","2112","20.71","12","43730","0.25","3644.17","0"
"2023-03-20","50784","Eros Fantasy","PC","126981","58826","148","75","0","0","1260","13.89","3","17496","0.14","5832","0"
"2023-03-20","50784","Eros Fantasy","TOTAL","310274","126279","348","150","0","103","3319","18.45","15","61226","0.2","4081.73","0"
"2023-03-21","50784","Eros Fantasy","ANDROID_APP","175017","66913","104","58","1","59","1974","12.41","9","24488","0.14","2720.89","0"
"2023-03-21","50784","Eros Fantasy","PC","127033","58855","52","29","0","0","1188","29.78","5","35384","0.28","7076.8","0"
"2023-03-21","50784","Eros Fantasy","TOTAL","310428","126365","155","86","1","59","3112","19.24","14","59872","0.19","4276.57","0"
"2023-03-22","50784","Eros Fantasy","ANDROID_APP","175194","66981","177","68","0","84","2059","20.55","15","42321","0.24","2821.4","0"
"2023-03-22","50784","Eros Fantasy","PC","127123","58896","90","41","0","0","1243","9.25","5","11495","0.09","2299","0"
"2023-03-22","50784","Eros Fantasy","TOTAL","310692","126473","264","108","0","84","3252","16.55","20","53816","0.17","2690.8","0"
"2023-03-23","50784","Eros Fantasy","ANDROID_APP","175337","67033","143","52","0","73","2063","17.37","14","35837","0.2","2559.79","0"
"2023-03-23","50784","Eros Fantasy","PC","127186","58925","63","29","0","0","1193","30.67","6","36585","0.29","6097.5","0"
"2023-03-23","50784","Eros Fantasy","TOTAL","310898","126554","206","81","0","73","3212","22.55","20","72422","0.23","3621.1","0"
"2023-03-24","50784","Eros Fantasy","ANDROID_APP","175468","67077","131","44","0","57","2031","7.4","14","15032","0.09","1073.71","0"
"2023-03-24","50784","Eros Fantasy","PC","127258","58958","72","33","0","0","1242","3.62","2","4496","0.04","2248","0"
"2023-03-24","50784","Eros Fantasy","TOTAL","311100","126630","202","76","0","57","3215","6.07","16","19528","0.06","1220.5","0"
"2023-03-25","50784","Eros Fantasy","ANDROID_APP","175579","67122","111","45","0","45","1939","3.27","6","6340","0.04","1056.67","0"
"2023-03-25","50784","Eros Fantasy","PC","127315","58987","57","29","0","0","1155","5.28","6","6093","0.05","1015.5","0"
"2023-03-25","50784","Eros Fantasy","TOTAL","311268","126704","168","74","0","45","3047","4.08","12","12433","0.04","1036.08","0"
"2023-03-26","50784","Eros Fantasy","ANDROID_APP","175710","67176","131","54","0","63","1988","0.4","2","799","0","399.5","0"
"2023-03-26","50784","Eros Fantasy","PC","127421","59044","106","57","0","0","1251","25.93","5","32444","0.25","6488.8","0"
"2023-03-26","50784","Eros Fantasy","TOTAL","311503","126813","235","109","0","63","3181","10.45","7","33243","0.11","4749","0"
"2023-03-27","50784","Eros Fantasy","ANDROID_APP","175823","67222","113","46","0","64","2016","5.4","6","10896","0.06","1816","0"
"2023-03-27","50784","Eros Fantasy","PC","127471","59072","50","28","0","0","1196","4.18","2","4995","0.04","2497.5","0"
"2023-03-27","50784","Eros Fantasy","TOTAL","311662","126883","159","70","0","64","3140","5.06","8","15891","0.05","1986.38","0"
"2023-03-28","50784","Eros Fantasy","ANDROID_APP","175933","67270","110","48","0","52","1959","3.06","5","5996","0.03","1199.2","0"
"2023-03-28","50784","Eros Fantasy","PC","127520","59097","49","25","0","0","1186","6.07","4","7196","0.06","1799","0"
"2023-03-28","50784","Eros Fantasy","TOTAL","311821","126956","159","73","0","52","3089","4.27","9","13192","0.04","1465.78","0"
"2023-03-29","50784","Eros Fantasy","ANDROID_APP","176035","67311","103","41","1","44","1957","3.47","5","6794","0.04","1358.8","0"
"2023-03-29","50784","Eros Fantasy","PC","127576","59125","56","28","0","0","1204","7.76","6","9341","0.07","1556.83","0"
"2023-03-29","50784","Eros Fantasy","TOTAL","311978","127025","158","69","1","44","3099","5.21","11","16135","0.05","1466.82","0"
"2023-03-30","50784","Eros Fantasy","ANDROID_APP","176168","67364","133","53","0","71","1997","1.73","4","3447","0.02","861.75","0"
"2023-03-30","50784","Eros Fantasy","PC","127627","59152","51","27","0","0","1226","0.41","1","500","0","500","0"
"2023-03-30","50784","Eros Fantasy","TOTAL","312162","127105","184","80","0","71","3156","1.25","5","3947","0.01","789.4","0"
"2023-03-31","50784","Eros Fantasy","ANDROID_APP","176460","67449","292","85","0","91","2203","44.19","24","97340","0.55","4055.83","0"
"2023-03-31","50784","Eros Fantasy","PC","127718","59190","91","38","0","0","1242","104.81","15","130180","1.02","8678.67","15996"
"2023-03-31","50784","Eros Fantasy","TOTAL","312544","127227","382","122","0","91","3385","67.21","39","227520","0.73","5833.85","15996"
"2023-04-01","50784","Eros Fantasy","ANDROID_APP","176854","67577","394","128","0","163","2284","59.65","34","136240","0.77","4007.06","0"
"2023-04-01","50784","Eros Fantasy","PC","127925","59276","207","86","0","0","1346","76.27","17","102663","0.8","6039","0"
"2023-04-01","50784","Eros Fantasy","TOTAL","313139","127436","595","209","0","163","3572","66.88","50","238903","0.76","4778.06","0"
"2023-04-02","50784","Eros Fantasy","ANDROID_APP","177167","67687","313","110","0","112","2228","26.76","18","59618","0.34","3312.11","0"
"2023-04-02","50784","Eros Fantasy","PC","128102","59359","177","83","0","0","1371","71.97","16","98673","0.77","6167.06","0"
"2023-04-02","50784","Eros Fantasy","TOTAL","313629","127629","490","193","0","112","3557","44.5","34","158291","0.51","4655.62","0"
"2023-04-03","50784","Eros Fantasy","ANDROID_APP","177399","67775","232","88","0","81","2268","26.87","26","60938","0.34","2343.77","0"
"2023-04-03","50784","Eros Fantasy","PC","128238","59420","136","61","0","0","1341","59.48","17","79762","0.62","4691.88","0"
"2023-04-03","50784","Eros Fantasy","TOTAL","313992","127773","363","144","0","81","3539","39.76","43","140700","0.45","3272.09","0"
"2023-04-04","50784","Eros Fantasy","ANDROID_APP","177582","67837","183","62","0","76","2182","10.24","18","22334","0.13","1240.78","0"
"2023-04-04","50784","Eros Fantasy","PC","128338","59467","100","47","0","0","1293","30.56","13","39518","0.31","3039.85","0"
"2023-04-04","50784","Eros Fantasy","TOTAL","314273","127880","281","107","0","76","3416","18.11","31","61852","0.2","1995.23","0"
"2023-04-05","50784","Eros Fantasy","ANDROID_APP","177757","67891","175","54","0","76","2167","24.82","17","53786","0.3","3163.88","0"
"2023-04-05","50784","Eros Fantasy","PC","128420","59507","82","40","0","0","1310","33.45","9","43824","0.34","4869.33","0"
"2023-04-05","50784","Eros Fantasy","TOTAL","314529","127973","256","93","0","76","3413","28.6","26","97610","0.31","3754.23","0"
"2023-04-06","50784","Eros Fantasy","ANDROID_APP","177963","67969","206","78","0","184","2199","14.66","17","32237","0.18","1896.29","0"
"2023-04-06","50784","Eros Fantasy","PC","128525","59554","105","47","0","0","1363","25.12","12","34244","0.27","2853.67","0"
"2023-04-06","50784","Eros Fantasy","TOTAL","314837","128097","308","124","0","184","3493","19.03","29","66481","0.21","2292.45","0"
"2023-04-07","50784","Eros Fantasy","ANDROID_APP","178196","68043","233","74","0","173","2217","29.67","39","65786","0.37","1686.82","0"
"2023-04-07","50784","Eros Fantasy","PC","128627","59607","102","53","0","0","1361","26.39","21","35913","0.28","1710.14","0"
"2023-04-07","50784","Eros Fantasy","TOTAL","315169","128222","332","125","0","173","3496","29.09","60","101699","0.32","1694.98","0"
"2023-04-08","50784","Eros Fantasy","ANDROID_APP","178519","68141","324","98","1","159","2402","10.69","16","25680","0.14","1605","0"
"2023-04-08","50784","Eros Fantasy","PC","128706","59645","79","38","0","0","1320","8.25","7","10889","0.08","1555.57","0"
"2023-04-08","50784","Eros Fantasy","TOTAL","315569","128356","401","134","1","159","3636","10.06","23","36569","0.12","1589.96","0"
"2023-04-09","50784","Eros Fantasy","ANDROID_APP","178817","68233","299","92","1","121","2410","7.56","10","18231","0.1","1823.1","0"
"2023-04-09","50784","Eros Fantasy","PC","128785","59682","79","37","0","0","1287","13.48","8","17345","0.13","2168.13","0"
"2023-04-09","50784","Eros Fantasy","TOTAL","315942","128482","374","126","1","121","3610","9.85","18","35576","0.11","1976.44","0"
"2023-04-10","50784","Eros Fantasy","ANDROID_APP","179053","68308","236","75","0","156","2433","4.35","10","10589","0.06","1058.9","0"
"2023-04-10","50784","Eros Fantasy","PC","128869","59725","84","43","0","0","1357","8.13","8","11038","0.09","1379.75","0"
"2023-04-10","50784","Eros Fantasy","TOTAL","316260","128598","318","116","0","156","3705","5.84","18","21627","0.07","1201.5","0"
"2023-04-11","50784","Eros Fantasy","ANDROID_APP","179273","68396","221","88","1","173","2397","4.65","10","11143","0.06","1114.3","0"
"2023-04-11","50784","Eros Fantasy","PC","128947","59764","78","39","0","0","1373","9.21","10","12640","0.1","1264","0"
"2023-04-11","50784","Eros Fantasy","TOTAL","316556","128723","297","125","1","173","3690","6.45","20","23783","0.08","1189.15","0"
"2023-04-12","50784","Eros Fantasy","ANDROID_APP","179551","68483","278","87","0","188","2445","19.42","12","47487","0.26","3957.25","0"
"2023-04-12","50784","Eros Fantasy","PC","129010","59781","64","17","1","0","1358","13.28","11","18036","0.14","1639.64","0"
"2023-04-12","50784","Eros Fantasy","TOTAL","316896","128827","341","104","1","188","3733","17.55","23","65523","0.21","2848.83","0"
"2023-04-13","50784","Eros Fantasy","ANDROID_APP","179814","68554","263","71","0","82","2409","16.1","19","38776","0.22","2040.84","0"
"2023-04-13","50784","Eros Fantasy","PC","129095","59816","85","35","0","0","1343","14.5","13","19480","0.15","1498.46","0"
"2023-04-13","50784","Eros Fantasy","TOTAL","317242","128932","346","105","0","82","3678","15.84","32","58256","0.18","1820.5","0"
"2023-04-14","50784","Eros Fantasy","ANDROID_APP","180036","68635","222","81","0","68","2273","23.91","35","54352","0.3","1552.91","0"
"2023-04-14","50784","Eros Fantasy","PC","129184","59854","89","38","0","0","1319","15.03","20","19821","0.15","991.05","0"
"2023-04-14","50784","Eros Fantasy","TOTAL","317553","129051","311","119","0","68","3523","21.05","55","74173","0.23","1348.6","0"
"2023-04-15","50784","Eros Fantasy","ANDROID_APP","180216","68699","180","64","0","41","2238","7.36","19","16482","0.09","867.47","0"
"2023-04-15","50784","Eros Fantasy","PC","129263","59890","79","36","0","0","1307","15.45","15","20191","0.16","1346.07","0"
"2023-04-15","50784","Eros Fantasy","TOTAL","317811","129150","258","99","0","41","3477","10.55","34","36673","0.12","1078.62","0"
"2023-04-16","50784","Eros Fantasy","ANDROID_APP","180371","68762","155","63","0","54","2220","4.41","12","9789","0.05","815.75","0"
"2023-04-16","50784","Eros Fantasy","PC","129313","59912","50","22","0","0","1247","15.31","12","19091","0.15","1590.92","0"
"2023-04-16","50784","Eros Fantasy","TOTAL","318016","129235","205","85","0","54","3406","8.48","24","28880","0.09","1203.33","0"
"2023-04-17","50784","Eros Fantasy","ANDROID_APP","180490","68803","119","41","0","37","2223","7.56","7","16795","0.09","2399.29","0"
"2023-04-17","50784","Eros Fantasy","PC","129363","59939","50","27","0","0","1247","2.52","5","3148","0.02","629.6","0"
"2023-04-17","50784","Eros Fantasy","TOTAL","318184","129302","168","67","0","37","3408","5.85","12","19943","0.06","1661.92","0"
"2023-04-18","50784","Eros Fantasy","ANDROID_APP","180614","68856","124","53","0","23","2163","2.24","7","4847","0.03","692.43","0"
"2023-04-18","50784","Eros Fantasy","PC","129409","59964","46","25","0","0","1270","12.2","4","15494","0.12","3873.5","0"
"2023-04-18","50784","Eros Fantasy","TOTAL","318354","129380","170","78","0","23","3368","6.04","11","20341","0.06","1849.18","0"
"2023-04-19","50784","Eros Fantasy","ANDROID_APP","180761","68927","147","71","0","32","2163","9.68","17","20932","0.12","1231.29","0"
"2023-04-19","50784","Eros Fantasy","PC","129454","59988","45","24","0","0","1238","1.61","4","1997","0.02","499.25","0"
"2023-04-19","50784","Eros Fantasy","TOTAL","318545","129474","191","94","0","32","3343","6.86","21","22929","0.07","1091.86","0"
"2023-04-20","50784","Eros Fantasy","ANDROID_APP","180938","68987","178","60","1","82","2279","8.27","18","18842","0.1","1046.78","0"
"2023-04-20","50784","Eros Fantasy","PC","129514","60026","61","38","1","0","1276","9.4","5","11999","0.09","2399.8","0"
"2023-04-20","50784","Eros Fantasy","TOTAL","318782","129571","238","97","1","82","3494","8.83","23","30841","0.1","1340.91","0"
"2023-04-21","50784","Eros Fantasy","ANDROID_APP","181280","69091","342","104","0","87","2471","46.05","23","113784","0.63","4947.13","0"
"2023-04-21","50784","Eros Fantasy","PC","129610","60068","96","42","0","0","1338","30.79","12","41195","0.32","3432.92","0"
"2023-04-21","50784","Eros Fantasy","TOTAL","319217","129715","435","144","0","87","3748","41.35","34","154979","0.49","4558.21","0"
"2023-04-22","50784","Eros Fantasy","ANDROID_APP","181559","69195","280","104","1","92","2281","12.57","14","28682","0.16","2048.71","0"
"2023-04-22","50784","Eros Fantasy","PC","129734","60114","124","46","0","0","1320","14.76","7","19485","0.15","2783.57","0"
"2023-04-22","50784","Eros Fantasy","TOTAL","319619","129865","403","150","1","92","3551","13.56","21","48167","0.15","2293.67","0"
"2023-04-23","50784","Eros Fantasy","ANDROID_APP","181775","69280","217","85","1","71","2245","16.21","12","36382","0.2","3031.83","0"
"2023-04-23","50784","Eros Fantasy","PC","129868","60162","134","48","0","0","1364","26.75","9","36481","0.28","4053.44","0"
"2023-04-23","50784","Eros Fantasy","TOTAL","319966","129998","348","133","1","71","3554","20.5","21","72863","0.23","3469.67","0"
"2023-04-24","50784","Eros Fantasy","ANDROID_APP","181933","69344","158","64","0","65","2135","12.24","10","26139","0.14","2613.9","0"
"2023-04-24","50784","Eros Fantasy","PC","129950","60190","82","28","0","0","1286","17.88","6","22989","0.18","3831.5","0"
"2023-04-24","50784","Eros Fantasy","TOTAL","320203","130088","237","90","0","65","3363","14.61","16","49128","0.15","3070.5","0"
"2023-04-25","50784","Eros Fantasy","ANDROID_APP","182116","69412","183","68","0","77","2197","14.01","11","30780","0.17","2798.18","0"
"2023-04-25","50784","Eros Fantasy","PC","130068","60235","118","45","0","0","1286","11.42","6","14690","0.11","2448.33","0"
"2023-04-25","50784","Eros Fantasy","TOTAL","320503","130201","300","113","0","77","3432","13.25","17","45470","0.14","2674.71","0"
"2023-04-26","50784","Eros Fantasy","ANDROID_APP","182479","69523","363","111","0","72","2357","29.37","17","69216","0.38","4071.53","0"
"2023-04-26","50784","Eros Fantasy","PC","130184","60271","117","36","1","0","1318","36.98","5","48741","0.37","9748.2","0"
"2023-04-26","50784","Eros Fantasy","TOTAL","320980","130346","478","145","1","72","3626","32.53","22","117957","0.37","5361.68","0"
"2023-04-27","50784","Eros Fantasy","ANDROID_APP","182737","69596","258","73","0","102","2273","16.07","15","36528","0.2","2435.2","0"
"2023-04-27","50784","Eros Fantasy","PC","130353","60333","169","62","0","0","1401","25.04","4","35086","0.27","8771.5","0"
"2023-04-27","50784","Eros Fantasy","TOTAL","321405","130481","425","135","0","102","3618","19.79","19","71614","0.22","3769.16","0"
"2023-04-28","50784","Eros Fantasy","ANDROID_APP","182988","69677","251","81","0","113","2274","57.6","52","130979","0.72","2518.83","0"
"2023-04-28","50784","Eros Fantasy","PC","130450","60372","97","39","0","0","1359","112.87","36","153391","1.18","4260.86","0"
"2023-04-28","50784","Eros Fantasy","TOTAL","321752","130600","347","119","0","113","3521","80.76","88","284370","0.88","3231.48","0"
"2023-04-29","50784","Eros Fantasy","ANDROID_APP","183405","69805","417","128","0","160","2461","29.74","32","73184","0.4","2287","0"
"2023-04-29","50784","Eros Fantasy","PC","130850","60528","400","156","0","0","1676","43.16","20","72344","0.55","3617.2","0"
"2023-04-29","50784","Eros Fantasy","TOTAL","322564","130882","812","282","0","160","4025","36.16","52","145528","0.45","2798.62","0"
"2023-04-30","50784","Eros Fantasy","ANDROID_APP","183684","69891","281","86","2","115","2423","36.89","27","89391","0.49","3310.78","0"
"2023-04-30","50784","Eros Fantasy","PC","131005","60588","155","60","0","0","1438","11.13","10","15998","0.12","1599.8","0"
"2023-04-30","50784","Eros Fantasy","TOTAL","322995","131027","433","145","2","115","3743","28.16","36","105389","0.33","2927.47","0"
"2023-05-01","50784","Eros Fantasy","ANDROID_APP","183931","69985","247","94","0","123","2519","9.88","14","24894","0.14","1778.14","0"
"2023-05-01","50784","Eros Fantasy","PC","131129","60638","124","50","0","0","1552","20.55","4","31895","0.24","7973.75","0"
"2023-05-01","50784","Eros Fantasy","TOTAL","323363","131168","368","141","0","123","3829","14.83","18","56789","0.18","3154.94","0"
"2023-05-02","50784","Eros Fantasy","ANDROID_APP","184098","70039","167","54","0","62","2359","24.65","19","58140","0.32","3060","0"
